Eviction ID,Address,Neighborhoods - Analysis Boundaries
M192406,700 Block Of 20th  Avenue,Outer Richmond
M192409,3000 Block Of Sacramento  Street,Pacific Heights
M192397,1300 Block Of Utah  Street,Mission
M192402,2200 Block Of Mission  Street,Mission
M192399,400 Block Of Jones  Street,Tenderloin
M192398,1300 Block Of Utah  Street,Mission
M192401,3000 Block Of Clement  Street,Outer Richmond
M192404,600 Block Of Taylor  Street,Nob Hill
M192400,1100 Block Of Mission  Street,South of Market
M192403,2200 Block Of Mission  Street,Mission
M192405,200 Block Of Leavenworth  Street,Tenderloin
M192424,700 Block Of Arguello  Boulevard,Inner Richmond
M192389,1200 Block Of Mission  Street,South of Market
M192390,700 Block Of Andover  Street,Bernal Heights
M192388,500 Block Of Oak  Street,Hayes Valley
M192387,500 Block Of Dolores  Street,Mission
M192385,500 Block Of Dolores  Street,Mission
M192386,500 Block Of Dolores  Street,Mission
M192381,2000 Block Of 10th  Avenue,Inner Sunset
M192379,600 Block Of Ellis  Street,Tenderloin
M192383,500 Block Of Dolores  Street,Mission
M192380,400 Block Of London  Street,Excelsior
M192384,500 Block Of Dolores  Street,Mission
M192340,1500 Block Of Larkin  Street,Nob Hill
M192338,1600 Block Of 26th  Avenue,Sunset/Parkside
M192341,2400 Block Of 23rd  Avenue,Sunset/Parkside
M192339,1600 Block Of 26th  Avenue,Sunset/Parkside
M192312,0 Block Of Palm  Avenue,Presidio Heights
M192323,0 Block Of Cordova  Street,Excelsior
M192313,0 Block Of Cordova  Street,Excelsior
M192322,0 Block Of Terra Vista  Avenue,Lone Mountain/USF
M192324,0 Block Of Cordova  Street,Excelsior
M192311,3000 Block Of Clement  Street,Outer Richmond
M192308,1500 Block Of Jackson  Street,Russian Hill
M192307,300 Block Of 22nd  Avenue,Outer Richmond
M192310,800 Block Of Oak  Street,Haight Ashbury
M192309,600 Block Of Ellis  Street,Tenderloin
M192296,2000 Block Of 10th  Avenue,Inner Sunset
M192301,500 Block Of Vidal  Drive,Lakeshore
M192294,0 Block Of Gloria  Court,Outer Mission
M192306,300 Block Of Garces  Drive,Lakeshore
M192300,100 Block Of Font  Boulevard,Lakeshore
M192303,0 Block Of Bucareli  Drive,Lakeshore
M192305,300 Block Of Arballo  Drive,Lakeshore
M192297,1600 Block Of Revere  Avenue,Bayview Hunters Point
M192299,900 Block Of Post  Street,Nob Hill
M192295,2100 Block Of Leavenworth  Street,Russian Hill
M192320,100 Block Of College  Avenue,Bernal Heights
M192302,400 Block Of Gonzalez  Drive,Lakeshore
M192304,300 Block Of Arballo  Drive,Lakeshore
M192292,1300 Block Of Utah  Street,Mission
M192289,300 Block Of Turk  Street,Tenderloin
M192291,3400 Block Of 16th  Street,Castro/Upper Market
M192287,1100 Block Of Leavenworth  Street,Nob Hill
M192288,300 Block Of 14th  Street,Mission
M192290,700 Block Of 20th  Avenue,Outer Richmond
M192284,800 Block Of Leavenworth  Street,Nob Hill
M192266,700 Block Of Gonzalez  Drive,Lakeshore
M192268,3100 Block Of Webster  Street,Marina
M192285,700 Block Of Gonzalez  Drive,Lakeshore
M192267,700 Block Of Gonzalez  Drive,Lakeshore
M192270,3300 Block Of Cesar Chavez  Street,Mission
M192264,0 Block Of Belden  Place,
M192263,600 Block Of Ofarrell  Street,Tenderloin
M192261,1700 Block Of Turk  Street,Western Addition
M192269,0 Block Of Raymond  Avenue,Visitacion Valley
M192262,700 Block Of Broderick  Street,Western Addition
M192260,3300 Block Of Scott  Street,Marina
M192258,600 Block Of Clay  Street,Chinatown
M192257,600 Block Of Clay  Street,Chinatown
M192259,600 Block Of Clay  Street,Chinatown
M192253,1600 Block Of Palou  Avenue,Bayview Hunters Point
M192271,0 Block Of Homestead  Street,Noe Valley
M192254,800 Block Of Filbert  Street,Russian Hill
M192251,1800 Block Of Hyde  Street,Russian Hill
M192250,400 Block Of 5th  Street,South of Market
M192223,1400 Block Of 48th  Avenue,Sunset/Parkside
M192224,200 Block Of Rolph  Street,Excelsior
M192221,3200 Block Of 22nd  Street,Mission
M192222,1400 Block Of 48th  Avenue,Sunset/Parkside
M192166,2400 Block Of Van Ness  Avenue,Marina
M192139,100 Block Of Font  Boulevard,Lakeshore
M192159,0 Block Of Castelo  Avenue,Lakeshore
M192157,300 Block Of Serrano  Drive,Lakeshore
M192146,700 Block Of Gonzalez  Drive,Lakeshore
M192156,300 Block Of Garces  Drive,Lakeshore
M192152,300 Block Of Arballo  Drive,Lakeshore
M192162,500 Block Of Vidal  Drive,Lakeshore
M192144,500 Block Of Vidal  Drive,Lakeshore
M192143,300 Block Of Gonzalez  Drive,Lakeshore
M192140,0 Block Of Bucareli  Drive,Lakeshore
M192161,0 Block Of Acevedo  Avenue,Lakeshore
M192165,400 Block Of Arballo  Drive,Lakeshore
M192158,500 Block Of Gonzalez  Drive,Lakeshore
M192155,800 Block Of Gonzalez  Drive,Lakeshore
M192151,100 Block Of Font  Boulevard,Lakeshore
M192153,100 Block Of Serrano  Drive,Lakeshore
M192136,100 Block Of Font  Boulevard,Lakeshore
M192163,900 Block Of San Joae  Avenue,
M192145,200 Block Of Font  Boulevard,Lakeshore
M192147,700 Block Of Gonzalez  Drive,Lakeshore
M192148,100 Block Of Font  Boulevard,Lakeshore
M192256,300 Block Of Otsego  Avenue,Outer Mission
M192160,0 Block Of Chumasero  Drive,Lakeshore
M192149,100 Block Of Cardenas  Avenue,Lakeshore
M192141,100 Block Of Font  Boulevard,Lakeshore
M192150,100 Block Of Font  Boulevard,Lakeshore
M192154,0 Block Of Castelo  Avenue,Lakeshore
M192142,400 Block Of Serrano  Drive,Lakeshore
M192164,600 Block Of Eddy  Street,Tenderloin
M192135,200 Block Of 19th  Avenue,Outer Richmond
M192137,0 Block Of Crespi  Drive,Lakeshore
M192255,300 Block Of Grafton  Avenue,Oceanview/Merced/Ingleside
M192134,200 Block Of 19th  Avenue,Outer Richmond
M192138,500 Block Of Gonzalez  Drive,Lakeshore
M192126,600 Block Of Green  Street,Chinatown
M192131,0 Block Of Pinto  Avenue,Lakeshore
M192130,100 Block Of Font  Boulevard,Lakeshore
M192129,100 Block Of Font  Boulevard,Lakeshore
M192128,1300 Block Of 17th  Avenue,Inner Sunset
M192127,4400 Block Of Cabrillo  Street,Outer Richmond
M192119,600 Block Of Ellis  Street,Tenderloin
M192121,400 Block Of Valencia  Street,Mission
M192120,0 Block Of Scotia  Avenue,Bayview Hunters Point
M192125,2400 Block Of 29th  Avenue,Sunset/Parkside
M192124,4300 Block Of 17th  Street,Castro/Upper Market
M192098,1100 Block Of Hollister  Avenue,Bayview Hunters Point
M192097,2500 Block Of Polk  Street,Russian Hill
M192099,0 Block Of Maynard  Street,Excelsior
M192096,0 Block Of 6th  Street,South of Market
M192133,1800 Block Of Mason  Street,Russian Hill
M192023,2000 Block Of 23rd  Street,Potrero Hill
M192022,3400 Block Of Divisadero  Street,Marina
M192028,0 Block Of Colby  Street,Portola
M192123,400 Block Of Fair Oaks  Street,Mission
M192024,200 Block Of Girard  Street,Portola
M192051,3600 Block Of 25th  Street,Mission
M192021,0 Block Of Seymour  Street,Western Addition
M192052,3600 Block Of 25th  Street,Mission
M192122,3600 Block Of Lawton  Street,Sunset/Parkside
M192020,400 Block Of 35th  Avenue,Outer Richmond
M192019,0 Block Of Taylor  Street,Tenderloin
M192018,2200 Block Of Powell  Street,North Beach
M192017,0 Block Of Turk  Street,Tenderloin
M191991,0 Block Of Pinto  Avenue,Lakeshore
M192001,300 Block Of Arballo  Drive,Lakeshore
M191998,300 Block Of Arballo  Drive,Lakeshore
M191996,100 Block Of Font  Boulevard,Lakeshore
M192002,2200 Block Of Mission  Street,Mission
M191989,0 Block Of 6th  Street,South of Market
M191988,1200 Block Of La Playa  Street,
M191993,100 Block Of Font  Boulevard,Lakeshore
M191990,2200 Block Of Mission  Street,Mission
M192003,0 Block Of Colby  Street,Portola
M192000,100 Block Of Font  Boulevard,Lakeshore
M191999,300 Block Of Serrano  Drive,Lakeshore
M191986,3400 Block Of Divisadero  Street,Marina
M191997,0 Block Of Castelo  Avenue,Lakeshore
M191992,0 Block Of Diaz  Avenue,Lakeshore
M191985,400 Block Of Ellington  Avenue,Outer Mission
M191983,1100 Block Of Post  Street,Tenderloin
M191984,1100 Block Of Post  Street,Tenderloin
M191987,1200 Block Of La Playa  Street,
M191995,500 Block Of Arballo  Drive,Lakeshore
M191994,300 Block Of Arballo  Drive,Lakeshore
M192016,500 Block Of 43rd  Avenue,Outer Richmond
M192049,0 Block Of Manzanita  Avenue,Presidio Heights
M192008,800 Block Of 46th  Avenue,Outer Richmond
M192050,1100 Block Of Florida  Street,Mission
M191940,1400 Block Of Union  Street,Russian Hill
M191929,400 Block Of Belvedere  Street,Haight Ashbury
M191965,1700 Block Of 28th  Avenue,Sunset/Parkside
M191930,400 Block Of Belvedere  Street,Haight Ashbury
M191931,700 Block Of Divisadero  Street,Hayes Valley
M191881,1800 Block Of Mason  Street,Russian Hill
M191886,1400 Block Of Broadway  Street,
M191885,1800 Block Of Mason  Street,Russian Hill
M191882,1300 Block Of Taraval  Street,Sunset/Parkside
M191879,300 Block Of Louisburg  Street,Oceanview/Merced/Ingleside
M191880,900 Block Of Capp  Street,Mission
M191884,1200 Block Of York  Street,Mission
M191883,1200 Block Of York  Street,Mission
M191887,1200 Block Of 40th  Avenue,Sunset/Parkside
M191964,3600 Block Of 17th  Street,Castro/Upper Market
M191871,2300 Block Of Powell  Street,North Beach
M191963,400 Block Of 33rd  Avenue,Outer Richmond
M191962,300 Block Of Otsego  Avenue,Outer Mission
M191948,700 Block Of Haight  Street,Haight Ashbury
M191870,0 Block Of Diaz  Avenue,Lakeshore
M191961,2400 Block Of Greenwich  Street,Marina
M191869,100 Block Of Grijalva  Drive,Lakeshore
M191861,1100 Block Of Alabama  Street,Mission
M191860,3200 Block Of 22nd  Street,Mission
M191859,200 Block Of Haight  Street,Hayes Valley
M191856,300 Block Of San Benito  Way,West of Twin Peaks
M191858,1500 Block Of Clay  Street,Nob Hill
M191857,300 Block Of San Benito  Way,West of Twin Peaks
M191855,1900 Block Of Quint  Street,Bayview Hunters Point
M191853,1100 Block Of Mission  Street,South of Market
M191902,1000 Block Of South Van Ness  Avenue,Mission
M191850,400 Block Of Jones  Street,Tenderloin
M191851,1000 Block Of Bush  Street,Nob Hill
M191893,400 Block Of Upper  Terrace,Haight Ashbury
M191900,1000 Block Of South Van Ness  Avenue,Mission
M191847,2000 Block Of California  Street,Pacific Heights
M191895,400 Block Of Upper  Terrace,Haight Ashbury
M191901,1000 Block Of South Van Ness  Avenue,Mission
M191897,400 Block Of Upper  Terrace,Haight Ashbury
M191848,100 Block Of Mason  Street,Tenderloin
M191898,400 Block Of Upper  Terrace,Haight Ashbury
M191891,1100 Block Of Hampshire  Street,Mission
M191894,400 Block Of Upper  Terrace,Haight Ashbury
M191892,400 Block Of Upper  Terrace,Haight Ashbury
M191849,0 Block Of Colby  Street,Portola
M191896,400 Block Of Upper  Terrace,Haight Ashbury
M191852,1600 Block Of Washington  Street,Russian Hill
M191840,0 Block Of Turk  Street,Tenderloin
M191899,1600 Block Of 31st  Avenue,Sunset/Parkside
M191890,0 Block Of Levant  Street,Castro/Upper Market
M191839,1700 Block Of Broadway  Street,
M191889,0 Block Of Balhi  Court,Outer Mission
M191827,0 Block Of Lobos  Street,Oceanview/Merced/Ingleside
M191828,4400 Block Of Mission  Street,Outer Mission
M191826,600 Block Of Ofarrell  Street,Tenderloin
M191838,1700 Block Of Mason  Street,Russian Hill
M191837,1700 Block Of Larkin  Street,Russian Hill
M191794,100 Block Of Font  Boulevard,Lakeshore
M191718,400 Block Of Serrano  Drive,Lakeshore
M191797,100 Block Of Font  Boulevard,Lakeshore
M191802,400 Block Of Arballo  Drive,Lakeshore
M191789,500 Block Of Vidal  Drive,Lakeshore
M191790,300 Block Of Gonzalez  Drive,Lakeshore
M191801,0 Block Of Castelo  Avenue,Lakeshore
M191836,200 Block Of Saint Charles  Avenue,Oceanview/Merced/Ingleside
M191807,300 Block Of Arballo  Drive,Lakeshore
M191791,100 Block Of Font  Boulevard,Lakeshore
M191793,100 Block Of Font  Boulevard,Lakeshore
M191717,100 Block Of Garces  Drive,Lakeshore
M191821,1600 Block Of Market  Street,Mission
M191799,100 Block Of Font  Boulevard,Lakeshore
M191808,300 Block Of Arballo  Drive,Lakeshore
M191806,300 Block Of Arballo  Drive,Lakeshore
M191786,500 Block Of Gonzalez  Drive,Lakeshore
M191805,800 Block Of Gonzalez  Drive,Lakeshore
M191787,0 Block Of Bucareli  Drive,Lakeshore
M191792,700 Block Of Gonzalez  Drive,Lakeshore
M191804,400 Block Of Serrano  Drive,Lakeshore
M191796,500 Block Of Gonzalez  Drive,Lakeshore
M191820,800 Block Of 38th  Avenue,Outer Richmond
M191788,400 Block Of Arballo  Drive,Lakeshore
M191803,700 Block Of Gonzalez  Drive,Lakeshore
M191819,2300 Block Of Broadway  Street,
M191798,100 Block Of Cardenas  Avenue,Lakeshore
M191795,100 Block Of Font  Boulevard,Lakeshore
M191822,1000 Block Of Bush  Street,Nob Hill
M191824,600 Block Of Geary  Street,Tenderloin
M191809,700 Block Of Gonzalez  Drive,Lakeshore
M191800,100 Block Of Garces  Drive,Lakeshore
M191823,0 Block Of Guerrero  Street,Mission
M191710,0 Block Of Pueblo  Street,Visitacion Valley
M191716,900 Block Of Monterey  Boulevard,West of Twin Peaks
M191711,0 Block Of Pueblo  Street,Visitacion Valley
M191709,0 Block Of Pueblo  Street,Visitacion Valley
M191715,900 Block Of Monterey  Boulevard,West of Twin Peaks
M191712,0 Block Of Pueblo  Street,Visitacion Valley
M191708,1300 Block Of Larkin  Street,Nob Hill
M191714,3400 Block Of San Bruno  Avenue,Visitacion Valley
M191713,1600 Block Of Market  Street,Mission
M191694,0 Block Of Vista Verde  Court,West of Twin Peaks
M191693,3900 Block Of 17th  Street,Castro/Upper Market
M191690,0 Block Of Edgardo  Place,North Beach
M191695,0 Block Of Vista Verde  Court,West of Twin Peaks
M191696,1000 Block Of Folsom  Street,South of Market
M191692,100 Block Of 14th  Street,Mission
M191691,0 Block Of Edgardo  Place,North Beach
M191686,1000 Block Of Lincoln  Way,Inner Sunset
M191685,2800 Block Of Van Ness  Avenue,Marina
M191730,400 Block Of Upper  Terrace,Haight Ashbury
M191729,400 Block Of Upper  Terrace,Haight Ashbury
M191731,400 Block Of Upper  Terrace,Haight Ashbury
M191681,300 Block Of Ellis  Street,Tenderloin
M191732,400 Block Of Upper  Terrace,Haight Ashbury
M191682,2200 Block Of Pine  Street,Pacific Heights
M191728,400 Block Of Upper  Terrace,Haight Ashbury
M191727,400 Block Of Upper  Terrace,Haight Ashbury
M191683,3500 Block Of San Bruno  Avenue,Visitacion Valley
M191726,400 Block Of Upper  Terrace,Haight Ashbury
M191680,1600 Block Of 40th  Avenue,Sunset/Parkside
M191720,2900 Block Of Diamond  Street,West of Twin Peaks
M191679,1700 Block Of Quesada  Avenue,Bayview Hunters Point
M191632,500 Block Of Leavenworth  Street,Tenderloin
